,headstart,hashrate,winrate,type
0,-1,0.0,0.4440748146552252,expect
1,-1,0.0,0.3161688980432544,actual
2,0,0.0,0.5184097435339191,expect
3,0,0.0,0.45410777700979577,actual
4,1,0.0,0.5641532799541908,expect
5,1,0.0,0.5769734687192924,actual
6,2,0.0,0.6028980599607194,expect
7,2,0.0,0.653875094055681,actual
8,0,0.05,0.5504274263453953,expect
9,0,0.05,0.4556464226661304,actual
10,1,0.05,0.5947114488555825,expect
11,1,0.05,0.5807622504537205,actual
12,-1,0.1,0.5150936439169899,expect
13,-1,0.1,0.31391147244805784,actual
14,0,0.1,0.5734393171901758,expect
15,0,0.1,0.45933014354066987,actual
16,1,0.1,0.6175789745608607,expect
17,1,0.1,0.6110199296600235,actual
18,2,0.1,0.6531597010691137,expect
19,2,0.1,0.6928494041170098,actual
20,-1,0.15,0.5288417674547141,expect
21,-1,0.15,0.29814814814814816,actual
22,0,0.15,0.5918159253962826,expect
23,0,0.15,0.4747049889005725,actual
24,1,0.15,0.6320166278504782,expect
25,1,0.15,0.6006076975016881,actual
26,2,0.15,0.6647040716212574,expect
27,2,0.15,0.6869893148962917,actual
28,-1,0.2,0.5684245338756165,expect
29,-1,0.2,0.38673253352152437,actual
30,0,0.2,0.6247333496195271,expect
31,0,0.2,0.5275444709334312,actual
32,1,0.2,0.6618776518267158,expect
33,1,0.2,0.619805557945453,actual
34,2,0.2,0.6932082179876844,expect
35,2,0.2,0.6965566714490674,actual
36,3,0.2,0.7244786329401384,expect
37,3,0.2,0.7497773820124666,actual
38,0,0.25,0.6447230049934083,expect
39,0,0.25,0.5495919139505973,actual
40,1,0.25,0.6769785369916659,expect
41,1,0.25,0.644180790960452,actual
42,2,0.25,0.7053313346971841,expect
43,2,0.25,0.7433943089430894,actual
44,0,0.3,0.6685982397423531,expect
45,0,0.3,0.5659056644410941,actual
46,1,0.3,0.6985691663793683,expect
47,1,0.3,0.6605301914580265,actual
